,Genotype,Daylength,Temperature,Growth
247,elf3-8,8,28,10.526
248,elf3-8,8,28,11.174
249,elf3-8,8,28,9.961
250,elf3-8,8,28,10.060
251,elf3-8,8,28,10.654
252,elf3-8,8,28,12.070
253,elf3-8,8,28,11.994
254,elf3-8,8,28,10.850
255,elf3-8,8,28,11.518
256,elf3-8,8,28,10.127
257,elf3-8,8,28,10.547
258,elf3-8,8,28,11.560
259,elf3-8,8,28,12.088
260,Col,8,28,9.309
261,Col,8,28,8.969
262,Col,8,28,8.441
263,Col,8,28,8.744
264,Col,8,28,7.572
265,Col,8,28,7.419
266,Col,8,28,8.371
267,Col,8,28,7.826
268,Col,8,28,8.149
269,Col,8,28,8.493
270,Col,8,28,8.990
271,Col,8,28,6.923
272,Col,8,28,8.409
273,Col,8,28,5.905
274,Col,8,28,8.775
275,Col,8,28,8.489
276,Col,8,28,8.981
277,Col,8,28,9.084
278,ELF3ox cop1-4,8,28,2.236
279,ELF3ox cop1-4,8,28,2.669
280,ELF3ox cop1-4,8,28,1.993
281,ELF3ox cop1-4,8,28,1.862
282,ELF3ox cop1-4,8,28,1.781
283,ELF3ox cop1-4,8,28,1.806
284,ELF3ox cop1-4,8,28,2.091
285,ELF3ox cop1-4,8,28,1.917
286,ELF3ox cop1-4,8,28,1.880
287,ELF3ox cop1-4,8,28,1.831
288,ELF3ox cop1-4,8,28,2.627
289,ELF3ox cop1-4,8,28,2.143
290,ELF3ox cop1-4,8,28,2.459
291,ELF3ox cop1-4,8,28,2.525
292,ELF3ox cop1-4,8,28,2.223
293,ELF3ox cop1-4,8,28,2.343
294,ELF3ox cop1-4,8,28,1.944
295,ELF3ox cop1-4,8,28,2.011
296,ELF3ox cop1-4,8,28,1.962
297,ELF3ox cop1-4,8,28,2.568
298,ELF3ox cop1-4,8,28,2.341
299,ELF3ox cop1-4,8,28,2.325
300,ELF3ox cop1-4,8,28,2.530
301,ELF3ox cop1-4,8,28,2.741
302,ELF3ox cop1-4,8,28,2.341
303,ELF3ox cop1-4,8,28,2.555
304,ELF3ox cop1-4,8,28,2.217
305,ELF3ox cop1-4,8,28,2.493
306,ELF3ox cop1-4,8,28,2.765
307,elf3-8 cop1-4,8,28,1.797
308,elf3-8 cop1-4,8,28,2.102
309,elf3-8 cop1-4,8,28,2.175
310,elf3-8 cop1-4,8,28,1.925
311,elf3-8 cop1-4,8,28,1.816
312,elf3-8 cop1-4,8,28,2.010
313,elf3-8 cop1-4,8,28,2.065
314,elf3-8 cop1-4,8,28,2.187
315,elf3-8 cop1-4,8,28,1.785
316,elf3-8 cop1-4,8,28,2.279
