pB28,kr22,kr28,pE122,pE128,pE222,pE228,dE,pPE22,pPE28,dP,kPC,dPB,pCL28,pCD,dC,pG,kG,pGP,pGE,pGB,pGH,pHC,mutBox,mutEox,mutPox,mutPko1,mutPko2,mutCox,mutCko1,mutCko2
1.194400,0.232000,0.411000,16.974700,22.247100,6.513300,1.259250,5.191760,0.289827,0.024978,1.166770,7.623060,0.150438,3.981380,69.921700,1.301840,0.006203,0.133906,0.224914,0.002384,0.881275,9.533510,0.134308,24.859000,1.000050,3.567960,0.568629,0.278730,65.734400,0.044342,0.611389
0.736507,0.232000,0.411000,77.727700,102.254000,33.300400,7.172290,24.057700,0.405137,0.058400,6.783450,38.460700,0.375374,4.988310,118.345000,1.888060,0.007556,0.116865,3.815340,0.671535,11.260200,88.789500,0.105101,49.647800,1.000090,5.777510,0.527033,0.256907,319.017000,0.027203,0.474354
0.797873,0.232000,0.411000,57.900000,76.653300,24.575000,5.143680,17.957300,0.513216,0.090768,3.071620,22.565900,0.366506,5.407900,101.885000,2.354330,0.008555,0.113750,1.641130,0.006701,4.621970,43.947000,0.212567,62.813700,1.000210,6.323340,0.493766,0.195994,152.419000,0.033597,0.702662
0.967796,0.232000,0.411000,11.817600,15.498800,4.606320,0.710961,3.612090,0.404498,0.055756,2.810280,13.628300,0.247521,4.374600,65.514000,1.327460,0.006794,0.122836,1.255590,0.186270,4.920300,39.167300,0.149454,35.911600,1.000350,4.747120,0.525217,0.236336,104.779000,0.048469,0.191586
0.736718,0.232000,0.411000,16.481300,21.372100,6.617070,1.094160,5.062040,0.407786,0.087558,3.753070,17.603100,0.282283,4.546940,52.471200,1.187520,0.007314,0.121897,1.548000,0.275085,5.433370,58.558500,0.213414,54.937800,1.001150,5.195490,0.585874,0.245815,110.145000,0.061006,0.597091
0.843079,0.232000,0.411000,17.346500,22.672700,6.826530,1.274000,5.311910,0.409877,0.055167,4.267760,10.140200,0.306818,3.328600,28.153500,0.647474,0.008551,0.122511,1.004780,0.129089,3.071830,42.967500,0.245606,38.026200,1.000240,4.709520,0.558881,0.251422,41.909000,0.091299,0.718513
0.896797,0.232000,0.411000,42.488700,55.377300,17.506200,3.576450,13.021500,0.344271,0.036488,4.961830,16.710600,0.256374,5.100250,99.984300,1.033090,0.007532,0.123017,1.943700,0.586088,7.972740,59.715100,0.061464,40.125000,1.000180,4.801020,0.551113,0.245664,222.668000,0.036914,0.147205
0.739693,0.232000,0.411000,39.853900,52.383200,16.612100,3.294070,12.250200,0.346838,0.049976,2.723930,44.642700,0.272509,4.427390,72.197600,3.860070,0.006636,0.121467,2.515050,0.668562,10.737000,93.024600,0.557790,54.934800,1.001760,5.119680,0.534713,0.230074,222.628000,0.044550,0.457736
0.923504,0.232000,0.411000,40.220600,52.575300,16.248500,3.391830,12.342700,0.533990,0.094063,3.551160,29.155900,0.268795,4.768380,77.700600,1.853490,0.009292,0.116749,2.050230,0.123884,8.845620,77.044000,0.232019,47.321600,1.000410,5.897140,0.530292,0.218255,224.864000,0.039767,0.763793
0.861127,0.232000,0.411000,41.212800,54.364100,17.364900,3.462600,12.736700,0.445104,0.071709,6.598040,29.388800,0.318059,5.244120,88.292000,1.530880,0.008296,0.116787,1.843800,0.146770,6.026940,48.589300,0.127164,55.024300,1.000230,5.561750,0.507991,0.213024,133.267000,0.040547,0.672372
0.814326,0.232000,0.411000,13.814800,18.213000,5.414510,0.955420,4.247800,0.570991,0.070626,4.374950,28.789200,0.434477,4.285660,63.498600,2.095660,0.011782,0.106275,2.118030,0.000113,5.451780,67.297800,0.428164,64.894500,1.007420,7.146180,0.445365,0.165940,112.730000,0.044647,0.583576
0.587121,0.232000,0.411000,74.873500,97.592700,30.975800,6.304420,22.879300,0.505477,0.111240,5.425260,51.776800,0.410852,5.073250,93.285500,2.881720,0.008939,0.108444,3.548170,0.043995,9.904690,111.496000,0.423171,65.033500,1.000430,7.611800,0.462089,0.161716,217.490000,0.036442,0.559455
0.921688,0.232000,0.411000,14.193100,18.643200,5.629880,0.972836,4.362950,0.416735,0.053611,2.762390,25.319600,0.262632,4.253130,61.035100,2.099940,0.008242,0.119686,1.549110,0.244789,6.174840,62.311300,0.344862,51.331200,1.000110,5.313420,0.527011,0.226582,107.849000,0.049764,0.741055
0.769556,0.232000,0.411000,15.903200,20.851300,6.240200,1.068120,4.863870,0.607013,0.105364,4.513810,26.291700,0.397857,4.151150,51.744800,1.389260,0.011217,0.113868,1.537250,0.016286,4.200970,62.885000,0.345755,65.313900,1.000070,6.664350,0.522519,0.215082,109.533000,0.048496,0.108481
0.845090,0.232000,0.411000,12.768200,16.875200,5.107950,0.814600,3.929480,0.584121,0.103479,2.749010,17.582400,0.384858,4.246650,48.994900,1.694590,0.009188,0.117601,1.503970,0.003424,3.934540,57.927600,0.438369,60.322900,1.000720,6.232890,0.521021,0.206653,68.027200,0.058334,0.845762
0.750432,0.232000,0.411000,14.638700,19.076400,5.977470,1.001180,4.513360,0.355463,0.067464,4.733300,22.273600,0.253039,4.528120,48.921500,1.075110,0.006366,0.132334,1.487540,0.604028,5.817520,65.800100,0.182667,70.337200,1.007670,4.365740,0.627817,0.286582,84.816800,0.067186,0.471017
0.989290,0.232000,0.411000,14.983600,19.391300,5.629950,0.928434,4.551620,0.488096,0.086097,3.176330,15.221900,0.260759,4.037310,41.810300,1.082090,0.008591,0.124459,0.873420,0.135333,2.587970,43.677000,0.320116,54.495800,1.000020,5.197450,0.556269,0.255108,74.401400,0.067358,0.924467
0.729491,0.232000,0.411000,71.416300,94.380600,30.199400,6.287240,22.099800,0.576065,0.092225,3.279030,68.319200,0.422721,5.821880,107.406000,6.110810,0.011124,0.109373,3.744950,0.128453,11.541800,138.395000,0.800862,65.168800,1.000270,7.754390,0.463879,0.174489,387.287000,0.033314,0.259657
0.810259,0.232000,0.411000,13.036800,17.023000,5.142160,0.832824,3.986350,0.409415,0.057464,3.667780,23.343000,0.315340,4.011140,47.826400,1.628360,0.007436,0.119241,1.391870,0.154211,4.330560,50.627200,0.350494,55.322100,1.000350,5.411630,0.522136,0.223247,91.640200,0.060921,0.627232
